sub_id,gamble_type,gamble_amount,p_win,amb_level,choice
2,risk,1,0.25,0,0
2,risk,1,0.25,0,0
2,risk,1,0.5,0,0
2,risk,1,0.5,0,0
2,risk,1,0.75,0,0
2,risk,1,0.75,0,0
2,risk,1.6,0.25,0,0
2,risk,1.6,0.25,0,0
2,risk,1.6,0.5,0,0
2,risk,1.6,0.5,0,0
2,risk,1.6,0.75,0,0
2,risk,1.6,0.75,0,0
2,risk,4,0.25,0,0
2,risk,4,0.25,0,0
2,risk,4,0.5,0,0
2,risk,4,0.5,0,0
2,risk,4,0.75,0,0
2,risk,4,0.75,0,0
2,risk,10,0.25,0,0
2,risk,10,0.25,0,0
2,risk,10,0.5,0,0
2,risk,10,0.5,0,0
2,risk,10,0.75,0,0
2,risk,10,0.75,0,0
2,risk,25,0.25,0,0
2,risk,25,0.25,0,0
2,risk,25,0.5,0,0
2,risk,25,0.5,0,0
2,risk,25,0.75,0,0
2,risk,25,0.75,0,0
2,ambiguity,1,0.5,0.25,0
2,ambiguity,1,0.5,0.25,0
2,ambiguity,1,0.5,0.5,0
2,ambiguity,1,0.5,0.5,0
2,ambiguity,1,0.5,0.75,0
2,ambiguity,1,0.5,0.75,0
2,ambiguity,1.6,0.5,0.25,0
2,ambiguity,1.6,0.5,0.25,0
2,ambiguity,1.6,0.5,0.5,0
2,ambiguity,1.6,0.5,0.5,0
2,ambiguity,1.6,0.5,0.75,0
2,ambiguity,1.6,0.5,0.75,0
2,ambiguity,4,0.5,0.25,0
2,ambiguity,4,0.5,0.25,0
2,ambiguity,4,0.5,0.5,0
2,ambiguity,4,0.5,0.5,0
2,ambiguity,4,0.5,0.75,0
2,ambiguity,4,0.5,0.75,0
2,ambiguity,10,0.5,0.25,0
2,ambiguity,10,0.5,0.25,0
2,ambiguity,10,0.5,0.5,0
2,ambiguity,10,0.5,0.5,0
2,ambiguity,10,0.5,0.75,0
2,ambiguity,10,0.5,0.75,0
2,ambiguity,25,0.5,0.25,0
2,ambiguity,25,0.5,0.25,0
2,ambiguity,25,0.5,0.5,0
2,ambiguity,25,0.5,0.5,0
2,ambiguity,25,0.5,0.75,0
2,ambiguity,25,0.5,0.75,0
4,risk,1,0.25,0,1
4,risk,1,0.25,0,0
4,risk,1,0.5,0,0
4,risk,1,0.5,0,1
4,risk,1,0.75,0,0
4,risk,1,0.75,0,1
4,risk,1.6,0.25,0,0
4,risk,1.6,0.25,0,1
4,risk,1.6,0.5,0,1
4,risk,1.6,0.5,0,0
4,risk,1.6,0.75,0,1
4,risk,1.6,0.75,0,0
4,risk,4,0.25,0,1
4,risk,4,0.25,0,0
4,risk,4,0.5,0,0
4,risk,4,0.5,0,1
4,risk,4,0.75,0,0
4,risk,4,0.75,0,1
4,risk,10,0.25,0,1
4,risk,10,0.25,0,0
4,risk,10,0.5,0,1
4,risk,10,0.5,0,0
4,risk,10,0.75,0,0
4,risk,10,0.75,0,1
4,risk,25,0.25,0,0
4,risk,25,0.25,0,1
4,risk,25,0.5,0,0
4,risk,25,0.5,0,1
4,risk,25,0.75,0,1
4,risk,25,0.75,0,0
4,ambiguity,1,0.5,0.25,0
4,ambiguity,1,0.5,0.25,1
4,ambiguity,1,0.5,0.5,1
4,ambiguity,1,0.5,0.5,0
4,ambiguity,1,0.5,0.75,1
4,ambiguity,1,0.5,0.75,0
4,ambiguity,1.6,0.5,0.25,1
4,ambiguity,1.6,0.5,0.25,0
4,ambiguity,1.6,0.5,0.5,0
4,ambiguity,1.6,0.5,0.5,1
4,ambiguity,1.6,0.5,0.75,0
4,ambiguity,1.6,0.5,0.75,1
4,ambiguity,4,0.5,0.25,1
4,ambiguity,4,0.5,0.25,0
4,ambiguity,4,0.5,0.5,0
4,ambiguity,4,0.5,0.5,1
4,ambiguity,4,0.5,0.75,1
4,ambiguity,4,0.5,0.75,0
4,ambiguity,10,0.5,0.25,1
4,ambiguity,10,0.5,0.25,0
4,ambiguity,10,0.5,0.5,0
4,ambiguity,10,0.5,0.5,1
4,ambiguity,10,0.5,0.75,0
4,ambiguity,10,0.5,0.75,1
4,ambiguity,25,0.5,0.25,0
4,ambiguity,25,0.5,0.25,1
4,ambiguity,25,0.5,0.5,1
4,ambiguity,25,0.5,0.5,0
4,ambiguity,25,0.5,0.75,1
4,ambiguity,25,0.5,0.75,0
9,risk,1,0.25,0,0
9,risk,1,0.25,0,0
9,risk,1,0.5,0,0
9,risk,1,0.5,0,0
9,risk,1,0.75,0,0
9,risk,1,0.75,0,0
9,risk,1.6,0.25,0,0
9,risk,1.6,0.25,0,1
9,risk,1.6,0.5,0,0
9,risk,1.6,0.5,0,0
9,risk,1.6,0.75,0,1
9,risk,1.6,0.75,0,1
9,risk,4,0.25,0,0
9,risk,4,0.25,0,1
9,risk,4,0.5,0,1
9,risk,4,0.5,0,1
9,risk,4,0.75,0,1
9,risk,4,0.75,0,1
9,risk,10,0.25,0,1
9,risk,10,0.25,0,1
9,risk,10,0.5,0,1
9,risk,10,0.5,0,1
9,risk,10,0.75,0,1
9,risk,10,0.75,0,1
9,risk,25,0.25,0,1
9,risk,25,0.25,0,1
9,risk,25,0.5,0,1
9,risk,25,0.5,0,1
9,risk,25,0.75,0,1
9,risk,25,0.75,0,1
9,ambiguity,1,0.5,0.25,0
9,ambiguity,1,0.5,0.25,0
9,ambiguity,1,0.5,0.5,0
9,ambiguity,1,0.5,0.5,0
9,ambiguity,1,0.5,0.75,0
9,ambiguity,1,0.5,0.75,0
9,ambiguity,1.6,0.5,0.25,1
9,ambiguity,1.6,0.5,0.25,1
9,ambiguity,1.6,0.5,0.5,0
9,ambiguity,1.6,0.5,0.5,0
9,ambiguity,1.6,0.5,0.75,0
9,ambiguity,1.6,0.5,0.75,0
9,ambiguity,4,0.5,0.25,1
9,ambiguity,4,0.5,0.25,1
9,ambiguity,4,0.5,0.5,0
9,ambiguity,4,0.5,0.5,1
9,ambiguity,4,0.5,0.75,1
9,ambiguity,4,0.5,0.75,1
9,ambiguity,10,0.5,0.25,1
9,ambiguity,10,0.5,0.25,1
9,ambiguity,10,0.5,0.5,1
9,ambiguity,10,0.5,0.5,1
9,ambiguity,10,0.5,0.75,1
9,ambiguity,10,0.5,0.75,1
9,ambiguity,25,0.5,0.25,1
9,ambiguity,25,0.5,0.25,1
9,ambiguity,25,0.5,0.5,1
9,ambiguity,25,0.5,0.5,1
9,ambiguity,25,0.5,0.75,1
9,ambiguity,25,0.5,0.75,1
